k0_base,beta_loss_factor,Q_individual,seed,curve_sep_botanical_vs_random,curve_sep_botanical_vs_fractal,curve_sep_botanical_vs_voronoi,finding_holds
0.002,0.25,0.8,66,1.7385,1.6923,0.6892,False
0.002,0.25,0.8,67,-0.7049,0.122,-0.453,True
0.002,0.25,0.8,68,0.2371,0.6941,0.5795,False
0.002,0.25,0.8,69,0.9499,1.4429,0.1883,False
0.002,0.25,0.8,70,-0.3726,0.471,0.2753,False
0.002,0.25,0.8,71,-0.3216,0.4911,0.1901,False
0.002,0.25,1.2,42,0.4401,0.6231,0.3999,False
0.002,0.25,1.2,43,0.0802,0.7503,0.379,False
0.002,0.25,1.2,44,2.0745,2.9019,2.0503,False
0.002,0.25,1.2,45,0.4642,0.9356,-0.1701,False
0.002,0.25,1.2,46,0.3975,1.4861,0.4827,False
0.002,0.25,1.2,47,0.5617,1.4549,0.3548,False
0.002,0.25,1.2,48,0.4242,0.6529,-0.2555,False
0.002,0.25,1.2,49,0.4511,1.589,1.0804,False
0.002,0.25,1.2,50,0.7377,1.1288,-0.1102,False
0.002,0.25,1.2,51,0.4477,1.7125,0.2842,False
0.002,0.25,1.2,52,0.411,2.7952,3.1179,False
0.002,0.25,1.2,53,-0.49,0.5479,-0.2062,True
0.002,0.25,1.2,54,0.2452,0.6603,0.2999,False
0.002,0.25,1.2,55,0.7268,1.2763,-0.0408,False
0.002,0.25,1.2,56,0.8699,1.4065,-0.0027,False
0.002,0.25,1.2,57,1.5777,2.5084,0.5588,False
0.002,0.25,1.2,58,0.028,1.2123,1.4053,False
0.002,0.25,1.2,59,0.2886,1.2467,0.7795,False
0.002,0.25,1.2,60,1.2593,0.731,-0.2188,False
0.002,0.25,1.2,61,-0.4316,0.0797,-0.3575,True
0.002,0.25,1.2,62,0.6401,1.3039,-0.0948,False
0.002,0.25,1.2,63,0.5296,1.9446,0.2267,False
0.002,0.25,1.2,64,-0.5597,0.1734,-0.4127,True
0.002,0.25,1.2,65,0.3696,0.8744,0.3735,False
0.002,0.25,1.2,66,1.7345,1.6893,0.6879,False
0.002,0.25,1.2,67,-0.7047,0.1212,-0.453,True
0.002,0.25,1.2,68,0.2364,0.6925,0.5768,False
0.002,0.25,1.2,69,0.9481,1.44,0.1875,False
0.002,0.25,1.2,70,-0.3724,0.4698,0.2732,False
0.002,0.25,1.2,71,-0.3212,0.4905,0.1888,False
0.002,0.25,2.0,42,0.4379,0.6209,0.3947,False
0.002,0.25,2.0,43,0.0793,0.7467,0.3751,False
0.002,0.25,2.0,44,2.0634,2.8879,2.0337,False
0.002,0.25,2.0,45,0.4645,0.9345,-0.1692,False
0.002,0.25,2.0,46,0.3956,1.4768,0.4774,False
0.002,0.25,2.0,47,0.5585,1.4472,0.3525,False
0.002,0.25,2.0,48,0.4214,0.65,-0.2558,False
0.002,0.25,2.0,49,0.4485,1.5804,1.0721,False
0.002,0.25,2.0,50,0.7338,1.1241,-0.1107,False
0.002,0.25,2.0,51,0.4465,1.7058,0.2824,False
0.002,0.25,2.0,52,0.4096,2.7817,3.0923,False
0.002,0.25,2.0,53,-0.4895,0.5446,-0.2068,True
0.002,0.25,2.0,54,0.2435,0.6577,0.2966,False
0.002,0.25,2.0,55,0.7229,1.2697,-0.0418,False
0.002,0.25,2.0,56,0.867,1.4004,-0.003,False
0.002,0.25,2.0,57,1.5721,2.4991,0.5566,False
0.002,0.25,2.0,58,0.0276,1.207,1.3938,False
0.002,0.25,2.0,59,0.2877,1.2421,0.7747,False
0.002,0.25,2.0,60,1.2485,0.7271,-0.2197,False
0.002,0.25,2.0,61,-0.4307,0.08,-0.3569,True
0.002,0.25,2.0,62,0.6367,1.2968,-0.0955,False
0.002,0.25,2.0,63,0.5279,1.9357,0.2252,False
0.002,0.25,2.0,64,-0.5585,0.173,-0.4121,True
0.002,0.25,2.0,65,0.3669,0.8696,0.3699,False
0.002,0.25,2.0,66,1.7266,1.6835,0.6854,False
0.002,0.25,2.0,67,-0.7043,0.1195,-0.4531,True
0.002,0.25,2.0,68,0.2351,0.6891,0.5716,False
0.002,0.25,2.0,69,0.9444,1.4342,0.1859,False
0.002,0.25,2.0,70,-0.372,0.4673,0.2691,False
0.002,0.25,2.0,71,-0.3205,0.4892,0.1863,False
0.002,0.25,3.0,42,0.4351,0.6181,0.3882,False
0.002,0.25,3.0,43,0.0783,0.7422,0.3703,False
0.002,0.25,3.0,44,2.0498,2.8706,2.0133,False
0.002,0.25,3.0,45,0.4649,0.9331,-0.1682,False
0.002,0.25,3.0,46,0.3932,1.4652,0.4708,False
0.002,0.25,3.0,47,0.5544,1.4377,0.3496,False
0.002,0.25,3.0,48,0.418,0.6464,-0.256,False
0.002,0.25,3.0,49,0.4453,1.5697,1.0619,False
0.002,0.25,3.0,50,0.729,1.1183,-0.1114,False
0.002,0.25,3.0,51,0.445,1.6976,0.2802,False
0.002,0.25,3.0,52,0.4079,2.765,3.0607,False
0.002,0.25,3.0,53,-0.4889,0.5405,-0.2076,True
0.002,0.25,3.0,54,0.2414,0.6545,0.2926,False
